Country.Code,Country.Name,Education.Level.PC1,Education.Level.PC2,EG_ELC_ACCS_ZS,EN_POP_SLUM_UR_ZS,FB_ATM_TOTL_P5,IC_ELC_TIME,IC_FRM_ISOC_ZS,IC_TAX_TOTL_CP_ZS,IQ_WEF_PORT_XQ,IT_NET_USER_P2,SE_ADT_1524_LT_MA_ZS,SE_XPD_TOTL_GD_ZS,SG_VAW_BURN_ZS,SH_DYN_AIDS_ZS,SH_DYN_MORT,SH_MED_PHYS_ZS,SH_TBS_PREV,SH_XPD_PCAP,SL_EMP_TOTL_SP_ZS,SL_TLF_SECO_ZS,SL_TLF_TOTL_IN,SN_ITK_DEFC_ZS,SP_POP_DPND,TM_TAX_MANF_SM_FN_ZS,UIS_EA_2_AG25T99,UIS_PTRHC_2,UIS_PTRHC_3,UIS_PTRHC_56,School.Years.PC1,School.Years.PC2,Edu.Literacy.PC1,Edu.Literacy.PC2,Pupils.Teacher.PC1,Pupils.Teacher.PC2,Cluster
BLZ,Belize,-0.900407714936836,0.290120373376783,100,10.8,42.39402598,66,0.7,31.1,3.3,38.7,87.32443,6.21729,2.1,1.2,16.5,0.828,47,278.5792093,58.20000076,34.20000076,154602,6.2,58.34623973,8.97,42.70719,18.3933,14.78078,20.26316,6.05054389782687,-1.52979752935173,-0.233149108258702,-0.830886640684761,5.73703308059381e-003,-0.169970650564359,2
BOL,Bolivia,-0.868842700511782,-1.69052596386978,90.5,43.5,34.711929,42,22.3,83.7,2.078424962,39.02,99.18483,7.03755,3.3,0.3,38.4,0.473,187,208.7841942,70.59999847,38.09999847,5145858,15.9,64.55646168,11.65,8.51059,16.53544,19.4118,22.47714,-1.04154571665363,1.01120548925349,1.5979610272906,0.299802167726361,-0.44916091968339,-0.162094454098132,2
BRA,Brazil,-0.74386007589141,0.28550970135338,99.5,22.3,129.2533223,43.6,13.1,69.2,2.705457549,57.6,98.60084,5.91432,9.45344827586207,2.71460674157303,16.4,1.891,52,947.427696,65,36,109842906,5,45.14288857,15.23,14.02283,18.45293,15.73995,19.93826,-0.745792609998214,0.356691369787655,1.36402839754849,3.821497623246e-003,-8.65451974623613e-002,-8.49936048794689e-002,2
CHL,Chile,-0.380080889064449,-1.59025069472112,99.6,9,56.57921082,30,22.1,28.9,4.906070468,72.35,99.02377,4.55744,9.45344827586207,0.3,8.1,1.026,20,1137.356265,58,57,8745002,5,45.26989594,5.98,21.79331,20.99118,21.00627,14.97998,3.0436700450227,8.0358130120806e-002,1.75648440702497,0.22540039025843,-0.613585448477286,0.72988011737925,2
CHN,China,-3.09078103996795,-1.69131195321721,100,25.2,55.03088811,143.2,53.4,67.8,4.548804854,49.3,99.7444,1.89593,9.45344827586207,2.71460674157303,10.7,1.94,89,419.7342406,68,36.7028846604423,806498521,9.3,35.84650547,9.02,43.00692,13.42238,17.50026,19.48791,-1.20912179097266,0.826530187438297,1.71665419405393,0.303936406377321,9.15649123070078e-002,-7.5350637754891e-002,2
COL,Colombia,-0.63007550603871,-0.306529396759794,97,13.1,40.56807911,102,20.8,69.7,3.64999392,52.57,98.23029,4.6708,0.2,0.4,15.9,1.471,39,569.1852903,60.70000076,42.59999847,24290685,8.8,45.90394031,4.87,15.42489,26.27563,21.90267,17.35012,1.08301047241585,1.07521326345711,1.50618466771232,7.03624586310489e-002,-1.17038182972712,0.699301969446548,2
CRI,Costa Rica,-0.91233933978649,0.208149388975912,99.5,5.5,77.11152043,45,13.3,58,3.137591084,49.41,99.2196,4.89459,9.45344827586207,0.3,9.7,1.113,14,970.002032,57.79999924,21.79999924,2316957,5,45.55770535,4.57,13.37319,14.40018,14.28597,11.86698,0.113379911075826,-0.302369391524537,1.77269068052814,0.290573422986875,0.681153015895063,0.469119456582886,2
DOM,Dominican Republic,-0.945223938278204,0.205560542216564,98,12.1,33.40007477,82,11.8,42.4,4.518985402,49.58,97.26311,2.05124,0.6,1,30.9,1.49,73,268.9943173,55.09999847,34.20000076,4710194,12.3,58.14265105,6.22,21.75269,24.46519,19.85137,26.20872,-0.557290600249504,0.375153173877205,1.23811276077291,-0.132826283788186,-1.19596221787796,-0.274667559159171,2
DZA,Algeria,-2.63926627320728,0.24229330487089,100,11.8,7.288244392,180,5,72.7,2.988973396,18.09,95.64635,4.33702,9.45344827586207,0.1,25.5,1.207,118,361.7291743,40,21.5,12355028,5,51.53663147,18.2,16.45442,17.80495,16.15822,23.77774,-4.1157139324727,1.74541913500251,0.192895143724078,-0.34064832559152,-0.245595841408868,-0.430486825574263,2
ECU,Ecuador,-1.96382816363256,-1.16540932172693,97.2,36,40.57754557,74,9.7,33,4.839285851,43,98.8321,4.18002,9.45344827586207,0.3,21.6,1.724,78,579.1924445,65.59999847,29,7720071,10.9,55.94780296,9.27,9.292,15.13735,26.23663,14.54677,-1.28208305161397,0.384197799743285,1.48705088765255,0.184880812255112,-0.747343366734775,0.910708592374476,2
