Country.Code,Country.Name,Education.Level.PC1,Education.Level.PC2,EG_ELC_ACCS_ZS,EN_POP_SLUM_UR_ZS,FB_ATM_TOTL_P5,IC_ELC_TIME,IC_FRM_ISOC_ZS,IC_TAX_TOTL_CP_ZS,IQ_WEF_PORT_XQ,IT_NET_USER_P2,SE_ADT_1524_LT_MA_ZS,SE_XPD_TOTL_GD_ZS,SG_VAW_BURN_ZS,SH_DYN_AIDS_ZS,SH_DYN_MORT,SH_MED_PHYS_ZS,SH_TBS_PREV,SH_XPD_PCAP,SL_EMP_TOTL_SP_ZS,SL_TLF_SECO_ZS,SL_TLF_TOTL_IN,SN_ITK_DEFC_ZS,SP_POP_DPND,TM_TAX_MANF_SM_FN_ZS,UIS_EA_2_AG25T99,UIS_PTRHC_2,UIS_PTRHC_3,UIS_PTRHC_56,School.Years.PC1,School.Years.PC2,Edu.Literacy.PC1,Edu.Literacy.PC2,Pupils.Teacher.PC1,Pupils.Teacher.PC2,Cluster
TUN,Tunisia,-1.25892437348404,0.301982026262553,100,8,23.34835359,65,16.8,59.9,3.564477007,46.16,98.34687,6.22349,9.45344827586207,0.1,14,1.222,42,305.305519,41.29999924,37.90000153,4023313,5,44.47706256,19,17.2916997526606,15.14807,11.8281,14.5336,-2.72597833470481,2.583583990127,0.537841197826944,-0.163347374941513,0.779588006164068,0.106453978087105,2
TUR,Turkey,-1.76774119671882,-1.2493805500597,100,11.9,77.08147112,63,32.4,40.9,4.488519844,51.04,99.67821,2.86247,5.8,2.71460674157303,13.5,1.711,22,567.6311267,44.79999924,20.29999924,27778482,5,49.99976986,4.36,18.27676,20.63689,19.59875,38.08324,-2.60533232726462,0.603268290227896,1.56694634113859,0.366946747506286,-1.39851333639809,-1.47683342426602,2
URY,Uruguay,-3.33680460214155,-1.32774462504964,99.5,39.4148148148148,51.96796951,48,10.8,41.8,4.698681604,61.46,98.51025,4.35527,9.45344827586207,0.7,10.1,3.736,35,1442.276451,61.20000076,26.89999962,1763727,5,56.11947113,11.2,24.73551,10.1362,13.78374,9.85301,0.856553618859879,-0.837897301999523,1.801457637236,0.240819334647874,1.11120895655794,0.515465932663644,2
VNM,Vietnam,-1.96949335617909,0.57548752790505,99,27.2,23.59304334,59,16.7,39.4,3.913816844,48.31,98.15061,6.30311,17.9,0.5,21.7,1.19,198,142.3738891,75.90000153,36.7028846604423,54206654,11,42.30469009,8.7,39.31958,15.62477,27.6063,29.37942,-1.58401074865902,-2.10187524397157,1.42396952297351,0.216402362176204,-1.54139124502094,-0.36042136954391,2
ALB,Albania,0.284927361116738,2.75893898968755,100,39.4148148148148,35.02526367,177,18.8,36.5,4.151210169,60.1,98.98068,3.50083,4.4,2.71460674157303,14,1.145,26,272.2042915,46.29999924,34.5,1292943,13.7244444444444,44.91213578,3.46,41.93575,12.3303,17.65478,23.59427,2.79208163443313,0.456686498417477,1.74101910894161,0.311653763865673,-2.00586480449712e-002,-0.471554176732404,3
ARG,Argentina,-0.65107033794505,0.228326516312056,99.8,16.7,59.44995441,92,18.2,137.4,3.828925581,64.7,99.13115,5.3441,9.45344827586207,0.5,12.5,3.859,30,605.1878448,55.90000153,40,19540451,5,56.6303447,15.31,14.19025,14.09969,8.02675,16.77677,2.77086317761177,-0.770103947948308,1.79988373145301,0.289698096750704,1.16152844473414,-0.338959225235783,3
ARM,Armenia,5.22134119630665,1.82647906150906,100,14.4,58.26582913,180,23.6,19.9,2.125590811,46.3,99.81645,2.39756,0.3,0.2,14.1,2.698,55,161.5523856,52.90000153,43.09999847,1559971,5.8,41.3293303,2.97,6.36217,18.1653428099174,15.549878907563,7.10141,4.79006828274503,-1.22875288136159,1.96466943934537,0.406601379227656,0.485936844845162,1.07423034416139,3
BGR,Bulgaria,2.85195797568414,2.3397365773799,100,39.4148148148148,90.7152512,130,23.3,27,3.905178362,55.49,98.20516,3.58936,9.45344827586207,2.71460674157303,10.4,3.866,33,661.8465273,47.20000076,56.70000076,3318342,13.7244444444444,50.84738578,4.05,20.38869,13.43385,13.06862,12.31071,5.50560076265487,-2.04856400545233,1.68189301705771,0.380020477096306,0.858231331352794,0.335357953927202,3
CZE,Czech Republic,3.09116780437673,0.107497659798799,100,39.4148148148148,49.79900876,110,40.9,50.4,3.603684416,79.71,92.1344975833333,4.26371,9.45344827586207,2.71460674157303,3.4,3.624,5.9,1378.521202,55.90000153,72.90000153,5341662,13.7244444444444,47.90969389,4.05,10.63904,11.26948,11.79291,26.02222,8.05925267707913,-2.20227576439388,2.31305684410252e-016,-2.34565545074894e-015,0.573460626440833,-1.04946198044851,3
HUN,Hungary,3.00636761005556,0.915097164342252,100,39.4148148148148,58.03842307,252,48.8,48.4,3.37181917,76.13,98.68453,4.64508,9.45344827586207,2.71460674157303,5.9,3.08,15,1036.623859,47.90000153,61.90000153,4383005,13.7244444444444,47.22401383,4.05,19.90632,9.68106,11.2015,15.166,6.60401517387946,-1.85537154866385,1.82840881218075,0.333226319954776,1.19578023826506,-0.127969953824596,3
KAZ,Kazakhstan,4.44364920713955,-2.52634454107426,100,39.4148148148148,71.9984389,83,15,29.2,2.912248952,54.89,99.81252,2.88742,1.8,0.2,14.1,3.617,127,538.7827771,69.69999695,43.59999847,9284810,5,48.94889824,7.4,3.03233,18.1653428099174,15.549878907563,12.97519,5.58205576894076,-0.608437553008474,1.96605228334215,0.406606624594311,0.242253855683981,0.535535523857524,3
KGZ,Kyrgyz Republic,3.28520622978142,3.41086029591021,100,39.4148148148148,24.65135291,125,28,29,1.500406062,28.3,99.69212,6.7802,6.3,0.3,21.3,1.969,196,81.5662616,62.40000153,73.90000153,2727997,6,54.51602235,4.1,7.32265,18.1653428099174,15.549878907563,14.12427,4.57091523501394,-0.815288452118621,1.94044795991525,0.38990847217199,0.194582467040666,0.43015135146517,3
MDA,Moldova,2.16919048041964,-2.61015965245483,100,39.4148148148148,36.49779982,113,18.7,40.2,2.187036319,46.6,100,7.50124,4.2,0.6,15.8,2.984,229,228.8466711,39.90000153,56.20000076,1236917,13.7244444444444,34.55151412,3.94,21.38652,9.48504,9.15378,16.67084,4.08964538755669,-0.922332869360474,1.95135346290419,0.404167007823891,1.36386416128724,-0.385561479017568,3
POL,Poland,3.6365094056266,5.64757610233047,100,39.4148148148148,63.58095676,133,33,40.3,4.021324783,66.6,99.99998,4.86121,9.45344827586207,0.1,5.2,2.219,26,910.2837803,51.29999924,62.40000153,18280161,13.7244444444444,42.65661939,4.05,0.29372,9.06589,9.91525,18.50407,5.50692089981433,-0.771068275002392,1.98008008183762,0.417863700346417,1.23593233437628,-0.521947950712686,3
ROM,Romania,1.15125447164776,-0.551795198651547,100,39.4148148148148,64.78037459,182,34.4,42,3.419629832,54.08,99.29397,2.9855,9.45344827586207,2.71460674157303,11.1,2.448,99,556.8096847,52.79999924,56.5,9527721,13.7244444444444,48.15977117,4.05,22.97682,11.19595,14.87933,22.43357,4.38682583243155,-0.865633566897403,1.84166050511854,0.366969328096066,0.400277182330753,-0.549646344866556,3
SRB,Serbia,0.703080858750018,-2.01639252562079,100,39.4148148148148,43.97233038,131,32.5,39.7,2.672683491,53.5,98.59301,4.42658,0.7,2.71460674157303,6.7,2.112,30,632.9248415,40.90000153,34.09999847,3132027,13.7244444444444,49.49001138,6.65,19.22449,8.3424,8.99388,23.21905,4.84967252877002,-0.52102645724089,1.72149998848477,0.363440360370167,1.18773864657258,-1.02460167498083,3
SVK,Slovak Republic,3.13111520320019,-0.191111650014371,100,39.4148148148148,58.84848828,121,42.9,51.2,3.164993681,79.98,99.37242,3.93731,9.45344827586207,0.1,7.3,3.32,8.6,1454.81013,51.59999847,72.5,2738420,13.7244444444444,39.89910295,4.05,13.32181,10.99898,11.5124,16.32972,8.15132770527311,-1.54492901898774,1.91997920481442,0.381986303369648,1.02390450935049,-0.183227502408892,3
TJK,Tajikistan,2.01298666445536,0.1236914869167,100,39.4148148148148,10.41371326,133,16.9,81.8,2.097190657,17.49,99.86141,4.01803,28.3,0.4,44.8,1.918,128,76.39130143,60.70000076,65.90000153,3676342,33.2,61.24307279,7.11,13.45508,21.61915,8.43554,17.5542,4.47240111176042,-1.1725011780733,1.96727433074999,0.410572749215961,0.568766414366869,-0.192933954549632,3
UKR,Ukraine,3.613394189077,3.63966809396958,100,39.4148148148148,94.55598808,263,16.6,52.2,3.161451566,43.4,99.72038,6.67166,0.1,1.2,9,3.543,114,202.6585798,55,2.099999905,23089480,13.7244444444444,42.60412564,4.07,14.16576,18.1653428099174,15.549878907563,11.01798,5.43419425149633,-1.50503888840899,1.95802640478893,0.401612848842247,0.323451786695383,0.715034737183002,3
VEN,"Venezuela, RB",0.225830968084709,0.406441380622712,100,32,43.65658446,178,25.9,65,2.554572707,57,97.12917,6.87468,9.45344827586207,0.6,14.9,1.939,29,873.3843222,59.5,25.5,14304546,5,52.69932426,12.9,17.2916997526606,8.77154,6.6364,12.87448,0.171164208562589,0.859070791387184,1.48024550014323,4.19285734683364e-002,1.8372465919977,-0.196617210336143,3
ZAF,South Africa,0.273262110496402,0.641859347585845,85.4,23,66.19826566,226,26.4,28.8,4.8698817,49,98.64921,6.05629,9.45344827586207,18.9,40.5,0.776,696,570.2060736,39.40000153,31.29999924,19980062,5,52.79813346,8.08,13.61646,18.1653428099174,15.549878907563,22.80147,2.02391627159388,0.735761344167009,1.51971109271069,0.10294321603604,-0.16540480411171,-0.365650107687316,3
ARE,United Arab Emirates,-2.6879992696164e-002,-0.0273813224389,97.69783,39.4148148148148,60.89727684,32,18.6212962962963,15.9,6.472991241,90.4,99.60736,1.10944,9.45344827586207,2.71460674157303,6.8,2.533,2.7,1610.79898,77.59999847,28.79999924,6302492,5,17.47165713,4.63,15.59026,14.14972,9.67677,17.46125,1.21486026571174,1.03999245894505,1.48494201117744,0.187272970531054,0.954809400196598,-0.308169450362611,4
AUS,Australia,3.41604311455269,0.557120280532634,100,39.4148148148148,160.7520453,75,18.6212962962963,47.6,4.986503444,84.56,92.1344975833333,4.90641,9.45344827586207,2.71460674157303,3.8,3.273,8.1,6031.107458,61.20000076,38.90000153,12420090,13.7244444444444,50.23111921,3.29,19.04393,18.1653428099174,15.549878907563,27.47249,6.07105769832387,-0.664410848359401,2.31305684410252e-016,-2.34565545074894e-015,-0.359189405515178,-0.794037667237684,4
AUT,Austria,1.31706870232518,-0.41778422382768,100,39.4148148148148,119.4389744,23,18.6212962962963,51.7,4.017461786,81,92.1344975833333,5.45065,9.45344827586207,2.71460674157303,3.5,4.83,9.8,5580.493943,57.90000153,53.79999924,4468626,13.7244444444444,48.97884934,4.05,22.69364,8.16027,11.63756,7.28747,2.67429099121506,-1.39441678297092,0.206037478434071,6.11764651783672e-003,1.58101531447569,0.579639008288312,4
BEL,Belgium,3.2449055262369,3.26092434916255,100,39.4148148148148,93.90762454,88,18.6212962962963,58.4,6.308197974,85,92.1344975833333,6.36516,9.45344827586207,2.71460674157303,4.1,4.887,11,4884.066261,48.79999924,39,4975258,13.7244444444444,53.59387956,4.05,17.30925,9.22585,9.57712,16.34012,4.77266135490866,-0.506682862092341,2.31305684410252e-016,-2.34565545074894e-015,1.35054278794456,-0.338260006697946,4
BRB,Barbados,-1.31769611388675,1.57063933412419e-002,90.87544,39.4148148148148,42.60446701,87,18.3,34.7,5.3,76.67,92.1344975833333,6.71179,9.45344827586207,2.71460674157303,13,1.811,0.42,1146.041691,62.59999847,65.19999695,162318,5,49.69493674,9.14,53.81306,18.1653428099174,15.549878907563,14.51018,2.93889299165541,-0.651319900150755,2.31305684410252e-016,-2.34565545074894e-015,0.178572384547418,0.394758858368141,4
BRN,Brunei Darussalam,-1.26406398289368e-016,2.02413491694831e-016,76.16138,39.4148148148148,79.62710595,56,18.6212962962963,8.7,4.7,68.77,99.50076,3.76595,9.45344827586207,2.71460674157303,10.2,1.443,79,957.605998,61.29999924,36.7028846604423,203304,5,38.31802336,1.49,17.2916997526606,10.34535,8.70334,15.11647,0.390374350640342,1.55238838792202e-002,1.71217605528112,0.265144627225157,1.41691915119892,-0.245947563065049,4
CAN,Canada,3.57621494588405,-2.69405116318675,100,39.4148148148148,222.2742686,137,18.6212962962963,21.1,5.458973778,87.12,92.1344975833333,5.27246,9.45344827586207,2.71460674157303,4.9,2.068,6.5,5291.74613,61.5,38.20000076,19726591,13.7244444444444,46.472607,2.51,17.25101,19.02609,12.19469,9.08142,7.53700452669387,-0.692402992405774,2.31305684410252e-016,-2.34565545074894e-015,0.700199178395814,0.727274763098444,4
CHE,Switzerland,3.44573311979276,-1.35705386780998,100,39.4148148148148,97.52859429,39,18.6212962962963,28.8,4.622662931,87,92.1344975833333,5.04805,9.45344827586207,2.71460674157303,3.9,4.049,7.7,9673.523535,65,47.59999847,4752879,13.7244444444444,48.3695857,0,12.82603,8.17844,10.65232,5.8358,8.29332130159363,-2.18142005793689,2.31305684410252e-016,-2.34565545074894e-015,1.74441341001212,0.658148526677596,4
CUB,Cuba,0.59083347825705,-0.808548614189238,100,39.4148148148148,50.9996215896643,93.5760563380282,18.6212962962963,40.380985915493,4.08418031936923,30,99.87324,12.83727,9.45344827586207,0.3,5.5,6.723,13,816.6235369,54.90000153,54,5383687,5,43.20849854,10.99,23.74254,8.88597,8.87554,4.59873,3.46436567601275,1.80182890126784,1.96327789171916,0.404720354918198,1.93538809753966,0.690540883230719,4
CYP,Cyprus,2.71287250911918,9.75300242075031e-003,100,39.4148148148148,53.12688158,137,18.6212962962963,24.4,4.420815453,69.33,99.83996,6.64467,9.45344827586207,2.71460674157303,2.7,2.329,6.8,1819.112996,53.90000153,38.40000153,613733,13.7244444444444,41.45541178,4.05,9.80451,9.66562,9.77062,12.68324,4.88918090001834,0.83842806554822,1.91707838099937,0.385599038243555,1.45149860623637,1.93128143462137e-002,4
DEU,Germany,3.09820974196905,-0.833363143151569,100,39.4148148148148,118.1869095,28,18.6212962962963,48.8,5.609588206,86.19,92.1344975833333,4.94831,9.45344827586207,2.71460674157303,3.7,3.889,7.8,5410.634639,56.90000153,59.70000076,42207318,13.7244444444444,51.62432338,4.05,14.34684,11.75844,14.33652,7.51864,7.23061302125315,-2.07491270382018,2.31305684410252e-016,-2.34565545074894e-015,1.03788986853937,0.802420805068195,4
DNK,Denmark,2.92082375866498,-1.21379734543182,100,39.4148148148148,54.28569379,38,18.6212962962963,24.5,5.759602588,95.99,92.1344975833333,8.5471,9.45344827586207,0.2,3.5,3.485,8.9,6463.243218,58.29999924,42.29999924,2917925,13.7244444444444,55.19953428,4.05,23.03587,10.04251,10.06155,17.68573,5.56775468833562,-0.657002866224893,2.31305684410252e-016,-2.34565545074894e-015,1.18720534569671,-0.413458391300622,4
ESP,Spain,0.608798414012096,-0.448479310245318,100,39.4148148148148,119.6278735,107,21.3,50,5.652581036,76.19,99.71571,4.36743,9.45344827586207,2.71460674157303,4.1,4.949,15,2658.270424,44.40000153,23.29999924,23342592,13.7244444444444,49.9575369,4.05,24.27187,11.21062,11.58455,12.6389,3.87562962650696,-9.54206290180187e-003,1.83909592183209,0.345001887789619,1.15482055211184,0.164772207843549,4
EST,Estonia,2.63842866099233,-3.12907955953966,100,39.4148148148148,76.81975404,91,28.7,49.4,5.547498771,84.24,99.96248,4.79262,9.45344827586207,2.71460674157303,2.9,3.242,25,1248.279632,57.29999924,51.70000076,687168,13.7244444444444,52.32812265,4.05,11.59036,7.91304,8.26007,10.74017,7.32028081116751,-1.95763584882717,1.97859993210317,0.415604047332035,1.81275022439362,6.77193107656165e-002,4
FIN,Finland,2.32958479475414,2.62874252666805,100,39.4148148148148,35.86609314,42,18.6212962962963,37.9,6.361369204,92.38,92.1344975833333,7.19254,9.45344827586207,2.71460674157303,2.3,2.905,7.1,4612.290456,54.29999924,46.40000153,2714587,13.7244444444444,56.57147215,4.05,28.04627,9.02802,15.99444,18.9193,6.42739359931359,-1.12474377766011,2.31305684410252e-016,-2.34565545074894e-015,0.576993129193818,-0.22105430417683,4
FRA,France,1.68129512359197,-0.319793634676308,100,39.4148148148148,108.048267,71,18.6212962962963,62.7,5.280860484,83.75,92.1344975833333,5.53344,9.45344827586207,2.71460674157303,4.3,3.19,12,4958.989226,50.20000076,45.09999847,30057382,13.7244444444444,59.17372988,4.05,16.73526,14.67706,11.22372,21.28925,4.78268895078738,0.20547927913063,2.31305684410252e-016,-2.34565545074894e-015,0.595771603518604,-0.559097299251166,4
GBR,United Kingdom,2.06573976392345,1.414799974278,100,39.4148148148148,129.7634366,79,18.6212962962963,32,5.67227357,91.61,92.1344975833333,5.72,9.45344827586207,2.71460674157303,4.2,2.809,15,3934.823561,58.20000076,41.90000153,32994128,13.7244444444444,54.3232286,4.05,21.46248,16.2881,15.63258,16.42327,6.95598825600872,-2.30781606607749e-003,2.31305684410252e-016,-2.34565545074894e-015,0.219554853381869,0.17538231054718,4
GRC,Greece,0.285982172904007,-0.209075495353125,100,39.4148148148148,59.08688711,51,11.7,49.6,4.593618812,63.21,99.53137,3.96574,9.45344827586207,2.71460674157303,4.6,6.167,6,1743.037533,39.09999847,41.90000153,4926892,13.7244444444444,55.05594897,4.05,9.48681,8.09305,7.68323,20.78964,4.17329855469203,0.711714038584346,1.77631651485839,0.352471254944345,1.44458898946325,-0.881537618580704,4
HKG,"Hong Kong SAR, China",0.939060705352811,-0.180579546380129,100,39.4148148148148,49.77183612,28,18.6212962962963,22.8,6.352012687,74.56,92.1344975833333,3.57196,9.45344827586207,2.71460674157303,28.680985915493,1.319,95,1307.29186172965,56.79999924,48.5,3745415,13.7244444444444,35.90210589,0,16.21729,17.756,15.549878907563,14.97417,5.01852663584848,3.15226899088098,2.31305684410252e-016,-2.34565545074894e-015,0.187477307184079,0.341619274530353,4
HRV,Croatia,2.08437777813807,-0.223942729949895,100,39.4148148148148,116.8194345,70,24.1,20,4.54886002,68.57,99.73082,4.15795,9.45344827586207,2.71460674157303,4.3,3,16,1050.334391,42.70000076,63.90000153,1845114,13.7244444444444,50.54449268,4.12,18.47835,8.74344,7.0019,9.26592,5.96081547766045,-0.724217754423113,1.92197764595578,0.394831984805434,1.95014768094731,0.154042674789414,4
IRL,Ireland,2.2306804738111,1.40969459417839,100,39.4148148148148,84.76546607,85,17.2,25.9,5.326941565,79.69,92.1344975833333,5.84453,9.45344827586207,0.3,3.6,2.67,9.3,4239.154489,53.40000153,38.59999847,2184332,13.7244444444444,52.3249582,4.05,16.29894,18.1653428099174,15.549878907563,15.38655,6.57390625702955,-3.12523638554916e-002,2.31305684410252e-016,-2.34565545074894e-015,0.14221479859575,0.314385405554161,4
ISL,Iceland,1.78447767969597,-0.807763457810731,100,39.4148148148148,71.52865079,22,18.6212962962963,29.6,5.976981395,98.16,92.1344975833333,7.03659,9.45344827586207,2.71460674157303,2,3.476,4.3,4661.621362,70.09999847,36.79999924,192535,13.7244444444444,50.9491205,2.55,33.43736304,18.1653428099174,12.45239,8.71305,5.08286757152181,1.35363601498197,2.31305684410252e-016,-2.34565545074894e-015,0.747370154128131,0.753209231607148,4
ISR,Israel,3.9427953344699,-1.9274481126863,100,39.4148148148148,126.1091054,102,33,30.6,4.006035322,71.45,99.05457,5.63281,9.45344827586207,2.71460674157303,4,3.344,7.1,2910.288637,59.09999847,40.79999924,3738337,13.7244444444444,63.41261601,3.23,5.83669,11.33172,8.68793,6.28413,7.38015304533854,-1.02245778706664,1.25623078169982,0.224659454653944,1.71713416147132,0.588729364731379,4
ITA,Italy,-3.88535295169904e-002,0.498815154085773,100,39.4148148148148,91.85098876,124,18.6212962962963,64.8,4.320676729,61.96,99.93021,4.14054,9.45344827586207,2.71460674157303,3.5,3.764,7.3,3257.75341,43.09999847,47.20000076,25785202,13.7244444444444,55.76291611,4.05,28.39826,10.83621,11.75716,19.02737,3.16656176957263,0.704422938361859,1.92812629156553,0.389621612909826,0.897241984032235,-0.42115604007662,4
JPN,Japan,1.64840788096116,-0.679116128303646,100,39.4148148148148,127.4960674,97.7,18.6212962962963,51.3,5.400942233,90.58,92.1344975833333,3.81849,9.45344827586207,2.71460674157303,2.7,2.297,23,3702.952775,56.90000153,47.70000076,65302348,13.7244444444444,62.98493196,2.5,16.6617,12.96262,10.5074,7.12377,6.60000688846137,0.314386165333416,2.31305684410252e-016,-2.34565545074894e-015,1.37728750407066,0.655648687397195,4
KOR,"Korea, Rep.",2.43705087138209,-0.478682937088662,100,39.4148148148148,290.6606232,18,17.6,33.2,5.234806204,84.33,92.1344975833333,4.61823,9.45344827586207,2.71460674157303,3.4,2.143,101,2060.248497,58.79999924,42,26356229,5,36.96564974,7.36,10.17638,16.78315,14.63593,14.66233,5.89190716037028,3.00241456692911,2.31305684410252e-016,-2.34565545074894e-015,0.364193385217832,0.293950322962349,4
KWT,Kuwait,-2.16337271221636,-0.9210025315574,97.69783,39.4148148148148,58.50080618,64,18.6212962962963,13,3.976525742,78.7,99.58376,3.76001,9.45344827586207,2.71460674157303,8.6,2.7,27,1385.776935,66.5,20.70000076,1992954,5,32.32099693,4.63,22.49374,8.07498,6.76887,17.02818,-2.88832310520538,-0.963255987034138,1.6631941261004,0.272419150728297,1.6987925244899,-0.588166687670711,4
LTU,Lithuania,3.65256507587643,-2.07203564285742,100,39.4148148148148,51.69088142,95,18,42.6,4.854908751,72.13,99.89894,17.69513,9.45344827586207,2.71460674157303,5.2,4.116,83,1063.421183,54.29999924,55,1537729,13.7244444444444,49.38419843,4.05,9.97937,7.81534,8.81443,11.71386,5.01214843862104,-0.918520522780462,1.97274986458144,0.412080650542397,1.72031973197835,6.89417180676499e-003,4
LUX,Luxembourg,2.39412620976694,-2.72279021525735,100,39.4148148148148,106.2910879,56,18.6212962962963,20.1,4.682100181,94.67,92.1344975833333,3.60224,9.45344827586207,2.71460674157303,1.9,2.9,8,8137.520806,53.90000153,34.70000076,266117,13.7244444444444,44.12472571,4.05,21.702,10.00701,6.57126,3.75849,4.76846005246031,-0.885940715899449,2.31305684410252e-016,-2.34565545074894e-015,2.13736711821284,0.667734920893901,4
LVA,Latvia,4.25395036748777,-0.24003874689324,100,39.4148148148148,63.20170456,107,19.6,35.9,5.18019421,75.83,99.79256,3.20394,9.45344827586207,2.71460674157303,7.9,3.579,57,920.7037654,54.79999924,58.40000153,1036589,13.7244444444444,51.26043917,4.05,12.11748,7.37622,9.25113,14.22373,4.73967614318702,-0.47757103467504,1.97230504579582,0.408532592634076,1.60011147335655,-0.21022608343341,4
MAC,"Macao SAR, China",-8.31153667659619e-002,5.81978203168092e-002,90.54264,39.4148148148148,224.9834834,93.5760563380282,18.6212962962963,40.380985915493,4.08418031936923,69.78,99.66619,2.05939,9.45344827586207,2.71460674157303,28.680985915493,1.56190002,105,1307.29186172965,70.5,28.39999962,360841,13.7244444444444,27.10820982,0,23.63395,12.67407,11.80369,13.33981,0.442894125865387,1.25005980461213,1.70453069144929,0.296362594661528,1.0018611857743,0.150592105194576,4
MLT,Malta,-0.951152392174098,-0.761297926721697,100,39.4148148148148,56.28187087,121,18.6212962962963,41.3,5.232202516,73.17,98.84367,6.75966,9.45344827586207,2.71460674157303,6.4,3.486,15,2470.59851,48.79999924,30.70000076,189081,13.7244444444444,50.20367422,4.05,41.15889,6.91793,8.65706,8.08074,4.11617251737643,1.29470706524085,1.4910860990709,4.27129971988477e-002,1.94944780935908,0.30808538027784,4
NLD,Netherlands,3.10965114332606,2.32720186284668,100,39.4148148148148,50.57684678,110,18.6212962962963,41,6.766418773,93.17,92.1344975833333,5.51428,9.45344827586207,2.71460674157303,3.8,2.859,7.2,5693.859921,59.70000076,42.40000153,9019299,13.7244444444444,52.45413067,4.05,19.51365,13.55298,14.76096,13.35461,5.79558139212776,-0.936866268424046,2.31305684410252e-016,-2.34565545074894e-015,0.627363154103365,0.337338290654707,4
NOR,Norway,3.26813035158822,-1.10678650552292,100,39.4148148148148,48.6231152,66,18.6212962962963,39.5,5.532298957,96.3,92.1344975833333,7.37183,9.45344827586207,0.2,2.6,4.281,10,9522.221658,62.59999847,41.09999847,2726992,13.7244444444444,51.7683757,0.65,23.00502,8.53176,7.30524,10.45972,6.3870523082475,-1.9107559995127,2.31305684410252e-016,-2.34565545074894e-015,1.88302998572052,5.60458632660313e-002,4
NZL,New Zealand,1.97336832328136,-1.75533081179818,100,39.4148148148148,70.73822573,58,18.6212962962963,34.3,5.466629383,85.5,92.1344975833333,7.25271,9.45344827586207,2.71460674157303,5.7,2.735,9.4,4896.348025,63.90000153,41.20000076,2433510,13.7244444444444,53.22273379,2.43,29.53215,14.8457,13.92247,17.15687,5.44363246358243,-1.00652309603043,2.31305684410252e-016,-2.34565545074894e-015,0.469577516948611,-2.48312303994763e-002,4
PRT,Portugal,-1.74229986508902,0.597498881866208,100,39.4148148148148,177.6906379,52,12.7,41,5.304742397,64.59,99.54785,5.12129,9.45344827586207,2.71460674157303,3.6,4.1,29,2096.823176,51.70000076,24.70000076,5379280,13.7244444444444,52.90280594,4.05,17.45906,10.43564,9.18652,10.45601,-0.165635945483848,1.55337032551177,1.65649956363756,0.250627502044565,1.55284459817065,0.210826476858402,4
QAT,Qatar,0.491423131507841,-1.51954680618129e-002,97.69783,39.4148148148148,61.37663399,90,18.6212962962963,11.3,5.595322221,91.49,98.27006,3.52539,9.45344827586207,2.71460674157303,8,7.739,37,2106.355503,86.40000153,36.7028846604423,1593886,13.7244444444444,19.63931918,4.63,23.42061,10.76287,9.5617,12.71012,0.688297569005937,0.404738196784571,1.76579800997429,0.149091977974265,1.3970583379682,3.35411555973949e-002,4
RUS,Russian Federation,1.99948477167046,-3.64157310926578,100,39.4148148148148,184.6976969,160.5,12.6,47,3.938319804,70.52,99.65695,4.15467,9.45344827586207,2.71460674157303,9.6,4.3089,109,892.8515629,60.5,39.5,76754167,13.7244444444444,42.0088763,7.42,8.86,18.1653428099174,15.549878907563,14.41403,5.82726130393561,-0.68221541550832,1.94938374691148,0.397354793056147,0.18256131831883,0.403576946034383,4
SGP,Singapore,3.28535924688798,-1.03203959703733,100,39.4148148148148,59.32291633,31,18.6212962962963,18.4,6.66474054,82,99.90372,2.90507,9.45344827586207,2.71460674157303,2.7,1.95,62,2752.320439,65.59999847,30.29999924,3110343,13.7244444444444,36.85912232,0,9.36236,14.91591,14.90509,13.54991,3.93619619491091,3.79434550036317,1.77101087795276,0.325231742871555,0.510243612507889,0.362734343607768,4
SVN,Slovenia,2.88859780265397,-0.594386453927443,100,39.4148148148148,95.79507762,38,22.5,31,4.96997423,71.59,99.81388,5.65882,9.45344827586207,0.1,2.6,2.516,9.8,2160.746701,52.09999847,57.5,1012624,13.7244444444444,47.4944993,4.05,17.36876,7.27727,12.99036,13.59104,6.67367483300201,-1.64692978261821,1.96377080220438,0.399218052872105,1.23685413348546,5.43415990914258e-002,4
SWE,Sweden,3.52815460144214,2.66468773860389,100,39.4148148148148,40.24318317,52,39.1,49.1,5.620067571,92.52,92.1344975833333,7.65619,9.45344827586207,0.2,3,3.926,9.4,6807.717778,58.90000153,47.20000076,5146596,13.7244444444444,57.96719253,4.05,14.7626,9.49987,9.54331,13.98772,6.49205521590587,-1.426623269608,2.31305684410252e-016,-2.34565545074894e-015,1.43287234994008,-0.117321325791349,4
USA,United States,5.68280233118711,4.20329044693288,100,39.4148148148148,173.0834853,89.6,18.6212962962963,43.9,5.72790979,87.36,92.1344975833333,5.2239,9.45344827586207,2.71460674157303,6.5,2.452,3.8,9402.536971,58.5,58,161048950,13.7244444444444,50.2563887,3.38,7.05423,14.71113,14.67932,12.75795,8.923446809253,-1.28419393891404,2.31305684410252e-016,-2.34565545074894e-015,0.581112694606008,0.417445190466123,4
